F,L,N,gpa
1112,1112,8,0.6
1112,1132,24,3.85
1112,1132,23,3.35
1112,1159,44,2.65
1112,1149,14,4.04
1112,1119,13,2.75
1112,1122,12,1.31
1112,1112,7,3.53
1112,1112,5,3.8
1112,1112,6,
1112,1139,23,3.22
1112,1162,16,3.48
1112,1122,22,3.4
1112,1219,28,3.13
1112,1149,35,3.24
1112,1192,14,3.66
1112,1172,88,3.68
1112,1162,44,3.26
1112,1112,7,2.53
1112,1132,21,3.55
1112,1132,22,3.03
1112,1122,14,3.33
1112,1112,5,3.8
1112,1116,9,3.1
1112,1112,5,4.1
1112,1126,16,2.76
1112,1172,50,3.3
1112,1142,15,4.0
1112,1132,24,3.42
1112,1152,53,2.72
1112,1189,34,3.95
1112,1139,35,2.39
1112,1119,11,3.48
1112,1132,23,2.35
1112,1116,9,2.76
1112,1129,19,3.37
1112,1122,14,3.81
1112,1112,6,2.6
1112,1149,31,3.15
1112,1112,9,1.52
1112,1142,31,2.67
1112,1159,12,3.1
1112,1122,17,4.1
1112,1149,30,2.68
1112,1182,44,3.16
1112,1209,74,3.43
1112,1142,33,1.78
1112,1129,10,3.71
1112,1192,52,2.28
1112,1159,28,1.65
1112,1112,6,3.25
1112,1179,11,3.48
1112,1156,48,2.81
1112,1119,7,3.75
1112,1229,47,3.67
1112,1119,8,4.0
1112,1119,6,3.6
1112,1129,20,2.04
1112,1152,35,3.3
1112,1142,18,3.6
1112,1152,16,3.15
1112,1159,14,2.46
1112,1182,21,3.91
1112,1172,22,3.75
1112,1172,31,2.57
1112,1129,10,3.38
1112,1152,32,2.57
1112,1209,28,2.35
1112,1146,33,3.45
1112,1192,49,2.67
1112,1136,26,3.16
1112,1156,26,3.83
1112,1122,14,2.35
1112,1112,8,3.66
1112,1112,5,
1112,1139,15,2.42
1112,1129,11,3.3
1112,1112,6,3.1
1112,1129,10,2.1
1112,1146,27,2.92
1112,1149,40,3.18
1112,1112,8,3.17
1112,1162,44,3.44
1112,1122,18,2.58
1112,1212,30,3.02
1112,1192,36,3.24
1112,1112,5,
1112,1139,22,3.05
1112,1112,8,2.5
1112,1119,10,1.86
1112,1169,36,2.64
1112,1212,24,2.16
1112,1189,37,2.91
1112,1122,15,1.35
1112,1182,48,2.67
1112,1122,19,3.94
1112,1116,11,1.45
1112,1159,47,3.38
1112,1122,16,2.45
1112,1162,40,3.7
1112,1189,44,2.2
1112,1112,7,3.4
1112,1152,52,2.68
1112,1119,12,3.56
1112,1202,65,2.32
1112,1189,15,4.1
1112,1192,72,4.06
1112,1119,9,
1112,1122,16,1.9
1112,1129,23,3.15
1112,1112,8,3.52
1112,1152,31,3.55
1112,1112,7,
1112,1122,7,3.86
1112,1119,13,
1112,1132,26,3.76
1112,1129,17,3.06
1112,1212,40,2.81
1112,1112,10,3.21
1112,1192,60,3.39
1112,1152,38,2.6
1112,1112,7,4.0
1112,1219,20,3.6
1112,1126,19,2.5
1112,1159,39,2.65
1112,1179,27,3.59
1112,1122,12,1.1
1112,1126,12,3.57
1112,1132,18,3.89
1112,1116,8,2.92
1112,1179,33,2.3
1112,1112,6,3.95
1112,1129,17,2.56
1112,1122,15,3.27
1112,1129,13,3.81
1112,1112,7,0.76
1112,1112,5,2.8
1112,1132,20,1.76
1112,1122,11,3.71
1112,1156,40,2.81
1112,1112,8,3.76
1112,1132,19,3.96
1112,1132,22,3.77
1112,1139,30,3.4
1112,1112,10,3.43
1112,1119,10,2.4
1112,1149,37,3.97
1112,1152,29,2.61
1112,1112,5,
1112,1112,7,0.1
1112,1222,64,3.84
1112,1112,5,
1112,1116,7,3.76
1112,1172,42,3.69
1112,1146,14,3.06
1112,1162,41,2.8
1112,1146,28,2.68
1112,1119,8,2.75
1112,1142,23,3.18
1112,1112,8,2.27
1112,1142,24,2.16
1112,1112,8,0.35
1112,1156,47,2.88
1112,1122,12,2.93
1112,1182,38,2.65
1112,1139,13,2.67
1112,1182,46,3.4
1112,1119,12,3.1
1112,1112,6,3.95
1112,1189,50,2.08
1112,1132,15,3.92
1112,1142,37,2.78
1112,1129,20,2.42
1112,1162,36,2.45
1112,1126,20,1.13
1112,1159,45,2.75
1112,1139,25,2.28
1112,1112,6,4.1
1112,1119,14,3.2
1112,1112,9,3.04
1112,1132,29,2.78
1112,1129,18,3.15
1112,1192,20,4.07
1112,1132,35,2.25
1112,1122,13,1.31
1112,1132,10,4.04
1112,1112,8,3.95
1112,1122,7,3.95
1112,1112,6,
1112,1149,31,3.04
1112,1132,14,2.46
1112,1129,11,4.01
1112,1139,20,3.06
1112,1119,16,2.76
1112,1142,30,3.3
1112,1126,14,3.63
1112,1132,17,3.21
1112,1112,8,3.92
1112,1122,19,2.36
1112,1122,8,3.27
1112,1119,11,2.62
1112,1182,50,3.45
1112,1142,32,2.48
1112,1119,13,3.23
1112,1119,14,3.47
1112,1119,14,2.85
1112,1112,6,
1112,1142,20,2.81
1112,1112,6,
1112,1122,16,2.28
1112,1142,36,3.51
1112,1182,54,3.94
1112,1159,18,4.1
1112,1122,16,3.5
1112,1112,5,4.1
1112,1139,24,3.36
1112,1129,12,3.22
1112,1132,16,3.49
1112,1132,29,2.92
1112,1142,20,3.48
1112,1152,28,2.62
1112,1116,9,2.1
1112,1122,12,1.1
1112,1112,9,
1112,1192,14,3.5
1112,1112,6,4.1
1112,1152,19,3.25
1112,1142,28,3.33
1112,1129,18,3.2
1112,1212,32,3.75
1112,1129,20,2.66
1112,1122,16,2.66
1112,1142,37,3.79
1112,1119,6,2.8
1112,1122,8,4.1
1112,1132,19,1.81
1112,1112,6,
1112,1119,12,0.1
1112,1139,28,2.93
1112,1132,20,3.8
1112,1152,44,1.75
1112,1129,17,3.83
1112,1192,13,2.95
1112,1112,6,0.6
1112,1159,46,3.57
1112,1182,32,3.73
1112,1122,15,1.55
1112,1112,7,3.46
1112,1132,16,3.4
1112,1182,10,3.71
1112,1112,8,1.1
1112,1112,7,1.6
1112,1172,22,3.67
1112,1132,30,3.73
1112,1142,27,1.82
1112,1172,30,2.7
1112,1182,21,3.91
1112,1116,9,2.5
1112,1122,14,3.02
1112,1142,35,3.65
1112,1172,33,2.66
1112,1119,6,4.1
1112,1112,6,3.1
1112,1112,7,3.33
1112,1122,7,4.1
1112,1122,17,3.43
1112,1172,24,2.95
1112,1132,23,1.98
1112,1142,22,3.8
1112,1222,14,3.58
1112,1122,14,3.14
1112,1139,20,3.36
1112,1122,15,3.42
1112,1129,10,1.1
1112,1192,44,3.11
1112,1122,9,3.07
1112,1112,7,3.43
1112,1119,6,2.75
1112,1162,34,3.26
1112,1132,12,4.0
1112,1116,10,2.92
1112,1159,36,3.52
1112,1112,6,1.6
1112,1189,14,3.2
1112,1129,16,3.4
1112,1112,7,3.4
1112,1119,10,3.77
1112,1229,50,1.67
1112,1172,16,2.26
1112,1172,38,3.31
1112,1142,38,3.51
1112,1112,5,3.8
1112,1112,6,3.45
1112,1132,22,2.68
1112,1122,21,3.32
1112,1112,6,2.1
1112,1119,11,2.42
1112,1116,6,3.95
1112,1132,17,2.61
1112,1112,9,2.5
1112,1129,8,4.1
1112,1126,11,3.78
1112,1112,5,
1112,1222,52,3.3
1112,1119,12,2.95
1112,1162,55,2.65
1112,1129,20,2.84
1112,1112,7,2.66
1112,1122,15,3.71
1112,1126,19,4.1
1112,1209,51,2.37
1112,1112,8,3.4
1112,1202,12,3.21
1112,1132,9,3.64
1112,1132,15,3.94
1112,1132,14,3.77
1112,1162,40,2.4
1112,1112,5,2.4
1112,1122,10,3.02
1112,1129,13,3.21
1112,1162,49,2.66
1112,1142,31,2.12
1112,1152,46,2.99
1112,1112,10,3.43
1112,1146,36,3.76
1112,1202,27,3.98
1112,1152,37,3.46
1112,1146,32,3.38
1112,1189,34,3.91
1112,1112,7,0.1
1112,1129,19,3.17
1112,1142,34,3.83
1112,1149,21,3.33
1112,1192,51,2.61
1112,1129,20,2.78
1112,1136,25,2.81
1112,1149,28,2.88
1112,1122,17,4.02
1112,1119,11,2.71
1112,1119,14,2.86
1112,1159,41,2.8
1112,1129,24,2.82
1112,1119,10,3.1
1112,1129,10,2.7
1112,1112,5,4.1
1112,1162,49,2.88
1112,1112,8,0.1
1112,1162,11,2.98
1112,1182,13,1.05
1112,1182,20,3.0
1112,1112,7,2.76
1112,1212,27,3.01
1112,1152,38,2.88
1112,1126,17,3.5
1112,1122,17,2.54
1112,1119,9,3.58
1112,1142,21,3.29
1112,1169,50,2.58
1112,1122,13,3.16
1112,1182,51,3.83
1112,1112,8,3.33
1112,1112,7,3.66
1112,1149,31,3.78
1112,1122,19,3.23
1112,1122,10,3.04
1112,1122,13,1.84
1112,1112,8,2.4
1112,1129,13,3.77
1112,1192,22,2.96
1112,1132,22,3.06
1112,1119,7,3.76
1112,1132,14,3.37
1112,1149,39,2.6
1112,1132,26,1.89
1112,1122,16,1.5
1112,1122,20,4.0
1112,1152,22,1.6
1112,1172,50,3.88
1112,1152,43,3.68
1112,1139,12,2.96
1112,1122,17,2.22
1112,1112,8,1.2
1112,1129,17,2.24
1112,1149,33,3.67
1112,1132,10,0.6
1112,1122,15,1.72
1112,1132,12,3.38
1112,1142,18,3.97
1112,1172,34,2.44
1112,1189,14,3.32
1112,1126,19,2.16
1112,1119,12,3.17
1112,1132,24,3.05
1112,1169,49,2.32
1112,1122,16,3.06
1112,1119,7,3.43
1112,1119,14,2.98
1112,1112,6,3.6
1112,1132,12,2.9
1112,1142,32,2.09
1112,1122,13,3.17
1112,1122,16,4.1
1112,1112,5,3.1
1112,1152,23,3.24
1112,1132,26,3.02
1112,1119,10,2.6
1112,1132,14,3.37
1112,1112,5,2.4
1112,1112,7,
1112,1112,5,
1112,1132,25,2.06
1112,1132,17,3.52
1112,1136,28,3.03
1112,1122,15,1.88
1112,1112,8,0.85
1112,1119,13,2.32
1112,1112,5,0.1
1112,1119,10,0.85
1112,1136,30,1.78
1112,1112,8,4.1
1112,1172,41,2.56
1112,1129,16,2.5
1112,1132,22,4.04
1112,1122,8,4.1
1112,1132,24,2.59
1112,1199,63,3.34
1112,1142,9,1.76
1112,1152,49,3.03
1112,1119,15,3.14
1112,1156,22,4.02
1112,1152,29,3.51
1112,1159,29,2.68
1112,1129,12,3.13
1112,1172,46,2.35
1112,1159,20,3.1
1112,1122,18,2.58
1112,1112,9,1.53
1112,1162,49,2.88
1112,1136,22,2.69
1112,1119,9,3.76
1112,1122,16,1.9
1112,1129,7,3.8
1112,1119,12,3.71
1112,1132,11,3.1
1112,1159,38,2.59
1112,1139,16,1.54
1112,1112,8,3.0
1112,1112,7,2.96
1112,1129,20,3.86
1112,1112,8,3.66
1112,1129,20,3.57
1112,1142,30,2.9
1112,1122,13,2.51
1112,1142,40,2.53
1112,1142,30,3.55
1112,1122,15,3.27
1112,1132,20,3.7
1112,1112,5,2.8
1112,1119,14,3.64
1112,1132,26,3.72
1112,1112,8,1.42
1112,1132,9,3.1
1112,1112,6,4.1
1112,1162,21,2.64
1112,1169,51,2.34
1112,1122,12,2.18
1112,1192,43,3.57
1112,1112,7,
1112,1132,26,4.01
1112,1112,7,1.1
1112,1122,11,1.35
1112,1129,10,3.36
1112,1126,9,3.38
1112,1152,14,2.43
1112,1122,23,2.73
1112,1112,6,3.95
1112,1132,27,3.02
1112,1149,34,2.76
1112,1129,18,3.45
1112,1132,11,0.1
1112,1122,15,3.84
1112,1142,42,2.92
1112,1129,9,2.52
1112,1139,29,2.02
1112,1142,28,2.64
1112,1116,8,3.66
1112,1112,9,3.98
1112,1162,47,2.37
1112,1152,25,3.55
1112,1139,17,2.05
1112,1152,28,2.3
1112,1159,21,3.83
1112,1112,5,
1112,1119,11,2.67
1112,1149,35,3.57
1112,1122,16,1.17
1112,1159,35,2.93
1112,1142,37,2.77
1112,1169,44,3.92
1112,1112,8,0.1
1112,1112,8,3.1
1112,1129,12,0.43
1112,1126,14,2.78
1112,1122,16,1.43
1112,1182,18,3.55
1112,1119,7,3.43
1112,1172,31,3.58
1112,1162,22,3.31
1112,1119,11,2.1
1112,1152,40,2.74
1112,1142,33,2.91
1112,1112,6,4.1
1112,1122,13,2.76
1112,1112,7,3.2
1112,1142,38,2.56
1112,1142,18,1.6
1112,1139,28,2.4
1112,1142,33,1.61
1112,1119,8,3.66
1112,1122,17,4.0
1112,1119,12,2.0
1112,1122,13,3.05
1112,1159,45,2.98
1112,1136,29,3.44
1112,1139,27,3.61
1112,1112,8,2.95
1112,1129,12,2.94
1112,1122,15,2.4
1112,1229,68,3.15
1112,1192,61,2.16
1112,1229,37,3.61
1112,1112,6,4.1
1112,1182,30,2.63
1112,1122,7,3.1
1112,1122,19,2.9
1112,1222,28,2.24
1112,1122,17,2.22
1112,1126,15,3.2
1112,1212,42,4.08
1112,1112,8,3.43
1112,1162,35,3.33
1112,1122,8,3.2
1112,1122,20,2.62
1112,1122,14,0.1
1112,1119,13,2.75
1112,1149,26,2.24
1112,1112,8,2.8
1112,1199,10,3.95
1112,1162,43,2.37
1112,1129,21,3.78
1112,1229,25,3.62
1112,1122,10,2.43
1112,1112,8,0.1
1112,1129,12,3.67
1112,1149,32,3.77
1112,1122,13,1.43
1112,1122,19,2.92
1112,1149,38,3.69
1112,1152,7,3.4
1112,1149,25,3.03
1112,1162,41,3.02
1112,1132,17,1.23
1112,1129,9,2.52
1112,1199,17,3.94
1112,1152,11,3.85
1112,1126,22,1.58
1112,1149,16,3.7
1112,1122,10,2.55
1112,1179,51,2.83
1112,1142,37,1.89
1112,1112,7,3.43
1112,1122,16,1.75
1112,1149,24,3.32
1112,1112,5,4.1
1112,1122,16,3.94
1112,1162,25,3.78
1112,1182,33,3.4
1112,1112,6,2.8
1112,1119,7,3.76
1112,1119,16,4.02
1112,1162,30,2.6
1112,1122,16,3.1
1112,1112,5,3.8
1112,1139,27,3.4
1112,1139,22,2.0
1112,1152,23,3.84
1112,1182,18,3.55
1112,1112,9,3.78
1112,1132,23,2.88
1112,1129,17,2.17
1112,1122,10,3.72
1112,1146,36,1.9
1112,1142,24,3.14
1112,1142,31,2.78
1112,1229,25,3.38
1112,1112,5,0.1
1112,1122,16,3.39
1112,1112,9,
1112,1119,6,3.8
1112,1126,19,2.5
1112,1149,25,1.69
1112,1152,17,3.13
1112,1222,26,2.16
1112,1112,5,4.1
1112,1162,20,3.96
1112,1112,6,4.1
1112,1162,14,2.52
1112,1149,32,2.24
1112,1112,6,
1112,1119,11,3.53
1112,1112,5,4.1
1112,1112,9,3.07
1112,1112,9,1.1
1112,1229,19,3.83
1112,1112,7,1.45
1112,1209,41,2.65
1112,1116,10,2.81
1112,1119,13,3.25
1112,1159,41,3.14
1112,1169,23,3.32
1112,1132,16,3.49
1112,1119,14,3.83
1112,1112,7,3.76
1112,1162,34,2.9
1112,1179,37,2.53
1112,1129,18,2.35
1112,1132,22,2.51
1112,1122,17,2.69
1112,1139,20,3.48
1112,1142,26,3.55
1112,1112,8,3.1
1112,1179,45,3.7
1112,1152,36,3.6
1112,1132,16,1.5
1112,1122,18,3.72
1112,1122,12,1.53
1112,1169,32,3.05
1112,1152,41,2.42
1112,1112,8,3.35
1112,1139,33,3.72
1112,1142,28,3.48
1112,1172,83,3.78
1112,1132,13,2.16
1112,1122,23,2.73
1112,1122,13,2.96
1112,1179,45,2.23
1112,1149,26,2.22
1112,1132,18,1.91
1112,1172,48,3.17
1112,1132,29,2.3
1112,1112,7,4.1
1112,1119,10,1.85
1112,1152,20,2.37
1112,1122,14,2.66
1112,1139,25,3.61
1112,1142,29,3.83
1112,1122,10,3.6
1112,1112,6,
1112,1212,44,2.63
1112,1112,8,1.6
1112,1116,7,3.76
1112,1112,7,2.76
1112,1112,8,0.92
1112,1129,11,0.1
1112,1132,20,3.24
1112,1112,8,2.77
1112,1139,26,3.19
1112,1169,23,3.64
1112,1142,27,3.04
1112,1129,20,1.66
1112,1112,6,
1112,1139,20,2.2
1112,1122,15,1.95
1112,1172,35,3.53
1112,1112,7,3.0
1112,1119,9,3.1
1112,1202,63,3.76
1112,1152,33,2.29
1112,1179,24,2.79
1112,1112,7,4.1
1112,1172,42,3.97
1112,1122,14,0.35
1112,1129,17,3.3
1112,1142,13,3.46
1112,1182,20,3.53
1112,1112,8,2.85
1112,1132,32,2.27
1112,1129,12,2.6
1112,1112,8,3.23
1112,1182,47,3.77
1112,1112,7,
1112,1149,27,2.64
1112,1119,13,3.1
1112,1112,6,2.75
1112,1132,19,2.95
1112,1119,14,2.43
1112,1122,19,3.21
1112,1152,36,3.09
1112,1119,11,2.71
1112,1142,29,3.83
1112,1229,9,3.86
1112,1132,25,2.12
1112,1159,26,2.68
1112,1139,18,2.24
1112,1129,21,2.0
1112,1149,40,3.26
1112,1132,23,3.71
1112,1112,8,4.1
1112,1132,17,1.93
1112,1152,33,2.6
1112,1122,8,3.85
1112,1122,11,3.95
1112,1142,29,3.37
1112,1116,10,2.18
1112,1119,7,3.25
1112,1112,5,3.8
1112,1132,27,3.38
1112,1152,39,3.4
1112,1149,48,3.85
1112,1122,15,2.03
1112,1159,39,3.78
1112,1122,16,1.89
1112,1122,17,2.54
1112,1129,18,3.82
1112,1229,37,2.7
1112,1129,18,3.31
1112,1112,7,
1112,1112,8,2.57
1112,1146,33,3.08
1112,1112,6,3.1
1112,1139,19,3.75
1112,1129,22,3.18
1112,1119,11,2.42
1112,1152,35,2.5
1112,1112,6,1.1
1112,1139,28,3.78
1112,1159,44,2.65
1112,1162,38,3.4
1112,1162,26,2.88
1112,1142,36,3.84
1112,1112,6,1.1
1112,1159,20,3.1
1112,1119,12,3.1
1112,1112,9,0.77
1112,1112,8,0.76
1112,1142,32,3.77
1112,1112,8,3.23
1112,1142,9,2.44
1112,1162,47,2.37
1112,1129,25,2.47
1112,1169,22,4.02
1112,1129,21,3.26
1112,1112,6,
1112,1122,7,4.0
1112,1152,41,3.28
1112,1132,24,3.39
1112,1209,39,2.84
1112,1172,48,2.4
1112,1122,14,2.23
1112,1199,9,3.2
1112,1119,8,
1112,1112,9,3.07
1112,1156,48,2.81
1112,1112,6,3.8
1112,1142,12,3.77
1112,1119,11,3.3
1112,1122,10,3.76
1112,1142,35,3.51
1112,1132,20,2.93
1112,1116,10,2.28
1112,1112,5,3.1
1112,1129,12,3.26
1112,1126,9,3.3
1112,1139,31,3.06
1112,1112,8,3.67
1112,1116,9,3.5
1112,1212,27,3.66
1112,1122,14,2.98
1112,1192,17,3.17
1112,1129,18,2.87
1112,1112,8,3.33
1112,1129,18,1.6
1112,1149,36,2.21
1112,1119,12,3.53
1112,1142,37,3.79
1112,1129,13,3.92
1112,1132,10,3.17
1112,1112,8,2.35
1112,1116,10,2.64
1112,1159,51,2.75
1112,1229,50,1.67
1112,1112,8,3.66
1112,1122,16,3.4
1112,1129,11,3.33
1112,1122,21,4.1
1112,1142,34,2.81
1112,1132,35,2.66
1112,1119,8,0.86
1112,1132,11,3.2
1112,1112,6,
1112,1142,40,3.05
1112,1139,13,3.78
1112,1139,10,3.45
1112,1199,9,3.6
1112,1119,12,3.13
1112,1112,8,2.1
1112,1119,6,4.1
1112,1149,23,2.26
1112,1112,6,
1112,1139,18,3.25
1112,1122,17,2.8
1112,1199,30,3.91
1112,1149,43,2.68
1112,1229,37,3.41
1112,1142,32,2.91
1112,1139,24,3.12
1112,1132,24,3.17
1112,1126,18,2.07
1112,1132,23,2.52
1112,1122,17,3.17
1112,1116,8,3.66
1112,1136,25,3.59
1112,1162,37,3.35
1112,1119,9,2.1
1112,1116,6,4.1
1112,1112,8,3.42
1112,1112,7,
1112,1142,17,3.86
1112,1149,13,3.78
1112,1129,11,2.61
1112,1159,45,2.93
1112,1152,35,2.5
1112,1142,13,3.44
1112,1162,47,2.33
1112,1112,5,2.4
1112,1149,20,2.06
1112,1142,31,3.58
1112,1119,11,3.8
1112,1139,27,2.56
1112,1139,29,3.6
1112,1119,13,2.42
1112,1126,13,0.6
1112,1199,43,3.19
1112,1162,54,2.66
1112,1122,15,3.17
1112,1122,7,3.1
1112,1122,7,4.0
1112,1162,40,3.66
1112,1112,9,3.63
1112,1119,14,3.81
1112,1119,9,3.86
1112,1122,20,4.0
1112,1142,38,3.0
1112,1119,9,2.36
1112,1132,24,3.92
1112,1132,15,3.85
1112,1132,19,0.71
1112,1162,34,3.58
1112,1126,17,3.03
1112,1142,25,3.81
1112,1122,18,2.59
1112,1129,20,4.1
1112,1142,31,3.01
1112,1192,20,4.07
1112,1182,30,3.88
1112,1162,27,3.88
1112,1116,9,3.18
1112,1112,5,2.8
1112,1142,37,2.64
1112,1112,11,2.42
1112,1212,51,3.39
1112,1149,35,2.73
1112,1142,20,1.82
1112,1119,12,1.36
1112,1122,16,3.54
1112,1169,40,3.03
1112,1112,5,4.1
1112,1162,45,3.54
1112,1229,24,3.88
1112,1152,28,2.62
1112,1149,23,2.26
1112,1129,20,3.57
1112,1152,34,3.6
1112,1142,26,2.57
1112,1152,37,3.24
1112,1122,13,3.17
1112,1122,17,2.4
1112,1132,9,2.1
1112,1112,8,2.43
1112,1119,13,3.06
1112,1222,58,3.22
1112,1122,17,3.12
1112,1162,19,3.69
1112,1119,12,1.17
1112,1119,13,3.68
1112,1122,10,3.7
1112,1112,8,2.6
1112,1146,33,3.53
1112,1112,6,3.95
1112,1119,14,3.51
1112,1152,40,3.54
1112,1222,42,3.01
1112,1122,14,3.89
1112,1116,9,3.9
1112,1159,12,
1112,1119,10,1.88
1112,1126,8,3.27
1112,1129,16,3.25
1112,1142,27,3.27
1112,1112,5,4.1
1112,1132,7,1.75
1112,1172,59,3.24
1112,1119,11,3.24
1112,1152,43,3.31
1112,1212,47,2.52
1112,1122,15,2.79
1112,1122,18,2.06
1112,1159,29,3.11
1112,1122,6,3.8
1112,1122,15,2.25
1112,1112,8,3.17
1112,1156,41,2.25
1112,1149,44,2.77
1112,1139,29,3.02
1112,1122,19,3.9
1112,1132,7,4.0
1112,1129,12,1.92
1112,1119,7,3.76
1112,1112,8,1.1
1112,1159,29,3.23
1112,1136,27,3.01
1112,1119,7,3.95
1112,1112,8,
1112,1112,5,4.1
1112,1132,23,3.5
1112,1136,23,1.99
1112,1142,9,2.76
1112,1152,37,1.92
1112,1122,14,1.67
1112,1122,12,3.83
1112,1116,8,3.1
1112,1112,7,3.53
1112,1112,9,3.98
1112,1112,7,3.1
1112,1122,15,2.52
1112,1142,27,1.59
1112,1172,20,3.52
1112,1142,37,3.94
1112,1119,6,4.1
1112,1149,34,2.6
1112,1112,7,
1112,1112,8,0.1
1112,1159,29,2.68
1112,1209,9,2.1
1112,1132,9,4.1
1112,1122,11,3.81
1112,1129,9,3.33
1112,1112,7,1.1
1112,1122,12,2.25
1112,1112,5,4.1
1112,1116,6,2.8
1112,1162,31,3.32
1112,1122,8,2.1
1112,1139,9,3.33
1112,1179,39,3.31
1112,1132,7,4.1
1112,1132,27,2.87
1112,1156,34,3.78
1112,1142,15,3.1
1112,1152,35,3.94
1112,1182,23,3.57
1112,1189,52,2.59
1112,1152,39,2.76
1112,1122,23,3.16
1112,1142,28,3.59
1112,1139,28,3.26
1112,1112,8,3.27
1112,1119,8,
1112,1156,15,3.82
1112,1146,17,3.43
1112,1112,6,3.4
1112,1129,11,3.01
1112,1112,8,0.92
1112,1112,7,2.76
1112,1182,37,3.85
1112,1112,9,2.56
1112,1192,56,3.42
1112,1169,16,3.78
1112,1146,14,3.06
1112,1152,45,3.96
1112,1122,9,3.64
1112,1139,30,2.03
1112,1122,9,3.64
1112,1112,8,2.86
1112,1116,7,0.6
1112,1142,39,3.03
1112,1122,17,3.36
1112,1139,24,2.03
1112,1179,14,2.31
1112,1142,13,3.93
1112,1152,45,3.29
1112,1139,24,2.78
1112,1122,9,3.87
1112,1149,30,2.98
1112,1116,7,3.1
1112,1156,40,3.31
1112,1129,19,3.85
1112,1159,23,3.71
1112,1132,28,3.54
1112,1132,14,2.81
1112,1132,28,3.84
1112,1129,13,3.11
1112,1119,14,3.34
1112,1142,31,3.22
1112,1122,17,2.66
1112,1129,12,3.93
1112,1129,24,2.75
1112,1122,15,2.58
1112,1139,32,3.26
1112,1152,45,2.91
1112,1129,21,3.07
1112,1209,50,3.01
1112,1229,43,3.14
1112,1179,51,2.41
1112,1139,28,2.4
1112,1122,10,3.7
1112,1139,32,3.25
1112,1112,8,3.27
1112,1112,6,4.1
1112,1139,22,3.41
1112,1112,8,2.1
1112,1139,30,2.83
1112,1126,21,3.12
1112,1142,9,4.1
1112,1222,56,3.87
1112,1119,12,2.17
1112,1112,8,0.1
1112,1149,16,2.39
1112,1112,7,
1112,1112,6,3.25
1112,1142,32,2.31
1112,1126,23,1.65
1112,1122,22,1.92
1112,1129,18,1.92
1112,1119,11,1.85
1112,1122,13,1.67
1112,1112,6,4.1
1112,1129,18,2.83
1112,1132,11,3.33
1112,1132,22,2.66
1112,1142,17,1.74
1112,1149,32,2.36
1112,1112,6,4.1
1112,1112,5,4.1
1112,1132,19,3.98
1112,1152,41,2.69
1112,1112,8,0.1
1112,1112,8,1.86
1112,1129,13,2.94
1112,1112,9,1.1
1112,1189,37,2.76
1112,1146,32,3.38
1112,1162,31,3.55
1112,1159,35,2.43
1112,1129,21,3.07
1112,1112,8,3.17
1112,1149,41,2.52
1112,1132,16,0.76
1112,1116,9,3.56
1112,1112,7,1.75
1112,1162,26,3.82
1112,1112,8,3.25
1112,1132,13,2.43
1112,1136,26,3.84
1112,1132,24,3.81
1112,1122,16,3.52
1112,1112,9,3.56
1112,1152,36,3.64
1112,1112,8,3.52
1112,1222,17,3.09
1112,1112,8,1.1
1112,1152,11,2.02
1112,1122,16,2.46
1112,1152,48,1.91
1112,1132,18,2.37
1112,1202,42,2.51
1112,1119,13,2.32
1112,1112,6,3.8
1112,1119,8,2.95
1112,1229,42,2.93
1112,1172,50,3.3
1112,1122,10,2.26
1112,1132,18,4.1
1112,1112,5,3.8
1112,1112,8,3.07
1112,1119,14,3.56
1112,1112,6,3.45
1112,1159,20,3.1
1112,1112,5,2.1
1112,1119,10,1.98
1112,1142,30,3.39
1112,1152,49,3.09
1112,1122,12,3.17
1112,1116,11,2.83
1112,1129,20,4.08
1112,1149,28,3.1
1112,1159,29,2.52
1112,1152,38,3.19
1112,1112,5,
1112,1112,6,2.8
1112,1156,15,3.82
1112,1122,16,1.68
1112,1132,15,1.04
1112,1122,13,2.5
1112,1119,14,3.51
1112,1182,32,4.02
1112,1152,34,3.29
1112,1112,8,3.23
1112,1122,16,3.52
1112,1132,14,0.6
1112,1122,15,3.08
1112,1152,20,2.37
1112,1139,24,3.72
1112,1112,8,
1112,1129,15,2.76
1112,1129,21,3.07
1112,1112,6,0.1
1112,1122,15,2.75
1112,1112,7,3.43
1112,1142,27,2.26
1112,1132,26,2.71
1112,1139,26,3.26
1112,1132,25,3.26
1112,1142,19,3.8
1112,1129,13,3.87
1112,1142,28,3.18
1112,1129,15,3.41
1112,1169,42,2.78
1112,1112,8,4.1
1112,1149,26,1.63
1112,1129,15,3.84
1112,1122,16,2.36
1112,1132,24,2.27
1112,1112,5,2.1
1112,1119,9,4.04
1112,1142,34,3.0
1112,1132,19,3.35
1112,1142,34,3.48
1112,1139,30,3.16
1112,1122,17,2.69
1112,1142,19,2.03
1112,1149,40,3.18
1112,1112,7,0.6
1112,1192,7,3.43
1112,1192,45,2.37
1112,1152,25,3.51
1112,1112,9,3.7
1112,1112,8,2.56
1112,1112,10,3.02
1112,1122,14,1.92
1112,1112,7,3.43
1112,1112,5,
1112,1136,8,3.1
1112,1112,7,0.76
1112,1112,9,4.04
1112,1119,7,3.56
1112,1112,6,
1112,1139,24,3.72
1112,1182,50,3.13
1112,1142,30,2.46
1112,1152,41,3.17
1112,1119,13,3.47
1112,1152,39,3.09
1112,1112,9,3.16
1112,1172,52,3.09
